seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
chr17	36203475	36203676	202	*	Distal Intergenic	17	36194869	36196758	1890	2	ENSG00000276085.1	ENST00000619989.1	-6717	6349	CCL3L1	C-C motif chemokine ligand 3 like 1
chr8	102528653	102528854	202	*	Promoter (<=1kb)	8	102528740	102538668	9929	1	ENSG00000253633.2	ENST00000519630.1	0	107986898	LOC107986898	uncharacterized LOC107986898
chr8	133499074	133499275	202	*	Promoter (<=1kb)	8	133475884	133499361	23478	2	ENSG00000008513.16	ENST00000523855.1	86	6482	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
chr1	9629511	9629712	202	*	Distal Intergenic	1	9607728	9613247	5520	1	ENSG00000188807.13	ENST00000508400.1	21783	199953	TMEM201	transmembrane protein 201
chr19	16141052	16141253	202	*	Promoter (1-2kb)	19	16123661	16139892	16232	2	ENSG00000269243.1	ENST00000597983.1	-1160	NA	NA	NA
chr20	44646828	44647029	202	*	Intron (ENST00000372874.9/ENSG00000196839.13, intron 1 of 11)	20	44626323	44651661	25339	2	ENSG00000196839.13	ENST00000545776.5	4632	100	ADA	adenosine deaminase
chr11	76673859	76674060	202	*	Promoter (1-2kb)	11	76675079	76703195	28117	1	ENSG00000254975.1	ENST00000533588.1	-1019	NA	NA	NA
chr1	18951914	18952115	202	*	Intron (ENST00000455833.7/ENSG00000169991.11, intron 1 of 8)	1	18908340	18955698	47359	2	ENSG00000169991.11	ENST00000416166.1	3583	126917	IFFO2	intermediate filament family orphan 2
chr7	2403009	2403210	202	*	Promoter (<=1kb)	7	2403588	2448483	44896	1	ENSG00000136213.10	ENST00000258711.7	-378	55501	CHST12	carbohydrate sulfotransferase 12
chr19	8194840	8195041	202	*	Distal Intergenic	19	8206736	8254602	47867	1	ENSG00000090661.12	ENST00000561008.5	-11695	79603	CERS4	ceramide synthase 4
chr9	133822848	133823049	202	*	Intron (ENST00000406606.7/ENSG00000160293.17, intron 4 of 26)	9	133725393	133739955	14563	2	ENSG00000123453.18	ENST00000298628.6	-82893	1757	SARDH	sarcosine dehydrogenase
chr16	23195594	23195795	202	*	Intron (ENST00000300061.3/ENSG00000166828.3, intron 5 of 12)	16	23167577	23186395	18819	2	ENSG00000285613.1	ENST00000648673.1	-9199	NA	NA	NA
chr15	69667546	69667747	202	*	Promoter (<=1kb)	15	69667617	69695750	28134	1	ENSG00000245750.10	ENST00000662698.2	0	145837	DRAIC	downregulated RNA in cancer, inhibitor of cell invasion and migration
chr11	44600744	44600945	202	*	Intron (ENST00000526958.5/ENSG00000085117.12, intron 4 of 6)	11	44604428	44619275	14848	1	ENSG00000085117.12	ENST00000530931.1	-3483	3732	CD82	CD82 molecule
chr15	75626544	75626745	202	*	Promoter (<=1kb)	15	75609890	75626469	16580	2	ENSG00000169371.14	ENST00000564086.5	-75	10073	SNUPN	snurportin 1
chr18	58038089	58038290	202	*	Distal Intergenic	18	58044226	58401539	357314	1	ENSG00000049759.20	ENST00000400345.8	-5936	23327	NEDD4L	NEDD4 like E3 ubiquitin protein ligase
chr1	12161438	12161639	202	*	Distal Intergenic	1	12166943	12167038	96	1	ENSG00000283789.1	ENST00000622420.1	-5304	102465836	MIR7846	microRNA 7846
chr22	39149169	39149370	202	*	Promoter (<=1kb)	22	39120167	39149832	29666	2	ENSG00000100307.13	ENST00000475962.5	462	23492	CBX7	chromobox 7
chr16	19132206	19132407	202	*	Intron (ENST00000564808.6/ENSG00000261427.6, intron 4 of 5)	16	19119976	19121629	1654	2	ENSG00000261759.1	ENST00000567236.1	-10577	NA	NA	NA
chr19	45886372	45886573	202	*	Promoter (<=1kb)	19	45883608	45886141	2534	2	ENSG00000170604.5	ENST00000302165.5	-231	26145	IRF2BP1	interferon regulatory factor 2 binding protein 1
chr19	35909045	35909246	202	*	Promoter (<=1kb)	19	35907294	35908295	1002	2	ENSG00000011600.12	ENST00000585626.1	-750	7305	TYROBP	transmembrane immune signaling adaptor TYROBP
chr1	63523318	63523519	202	*	Promoter (<=1kb)	1	63440773	63523502	82730	2	ENSG00000142856.17	ENST00000489099.5	0	23421	ITGB3BP	integrin subunit beta 3 binding protein
chr12	42469381	42469582	202	*	Promoter (<=1kb)	12	42458397	42469660	11264	2	ENSG00000139174.12	ENST00000640840.1	78	144165	PRICKLE1	prickle planar cell polarity protein 1
chr8	55844165	55844366	202	*	Distal Intergenic	8	55879835	56014168	134334	1	ENSG00000254087.8	ENST00000520220.6	-35469	4067	LYN	LYN proto-oncogene, Src family tyrosine kinase
chr8	102528536	102528737	202	*	Promoter (<=1kb)	8	102528740	102538668	9929	1	ENSG00000253633.2	ENST00000519630.1	-3	107986898	LOC107986898	uncharacterized LOC107986898
chr12	2187254	2187455	202	*	Intron (ENST00000682544.1/ENSG00000151067.23, intron 3 of 49)	12	2217462	2217920	459	2	ENSG00000278255.1	ENST00000613391.1	30465	NA	NA	NA
chr15	67784106	67784307	202	*	Intron (ENST00000178640.10/ENSG00000137764.20, intron 21 of 21)	15	67819704	67833836	14133	1	ENSG00000188779.12	ENST00000341418.10	-35397	390598	SKOR1	SKI family transcriptional corepressor 1
chr3	72099501	72099702	202	*	Promoter (<=1kb)	3	71943592	72100112	156521	2	ENSG00000241163.8	ENST00000666244.1	410	285286	LINC00877	long intergenic non-protein coding RNA 877
chr1	24190101	24190302	202	*	Promoter (2-3kb)	1	24159000	24187959	28960	2	ENSG00000185436.12	ENST00000374419.1	-2142	163702	IFNLR1	interferon lambda receptor 1
chr8	65954628	65954829	202	*	Distal Intergenic	8	66021553	66101245	79693	1	ENSG00000147570.10	ENST00000276570.10	-66724	85479	DNAJC5B	DnaJ heat shock protein family (Hsp40) member C5 beta
chr9	123339001	123339202	202	*	Distal Intergenic	9	123356170	123374099	17930	1	ENSG00000148204.12	ENST00000359999.7	-16968	286204	CRB2	crumbs cell polarity complex component 2
chr1	27869793	27869994	202	*	Promoter (2-3kb)	1	27872543	27886685	14143	1	ENSG00000130775.16	ENST00000328928.11	-2549	9473	THEMIS2	thymocyte selection associated family member 2
chr3	143207759	143207960	202	*	Distal Intergenic	3	143176327	143177617	1291	1	ENSG00000244171.4	ENST00000493219.2	31432	NA	NA	NA
chr15	77634419	77634620	202	*	Promoter (<=1kb)	15	77614944	77634353	19410	2	ENSG00000169783.13	ENST00000557798.1	-66	84894	LINGO1	leucine rich repeat and Ig domain containing 1
chr1	42959049	42959250	202	*	Promoter (<=1kb)	1	42959049	42983358	24310	1	ENSG00000227533.6	ENST00000431759.5	0	440584	SLC2A1-AS1	SLC2A1 antisense RNA 1
chr17	75783146	75783347	202	*	Promoter (1-2kb)	17	75784521	75784607	87	2	ENSG00000283853.1	ENST00000579134.1	1260	100616282	MIR4738	microRNA 4738
chr7	2972663	2972864	202	*	Intron (ENST00000396946.9/ENSG00000198286.10, intron 1 of 24)	7	2999094	2999394	301	1	ENSG00000201794.1	ENST00000364924.1	-26230	106480873	RN7SKP130	RN7SK pseudogene 130
chr12	112978883	112979084	202	*	Promoter (<=1kb)	12	112978594	112988800	10207	1	ENSG00000111335.14	ENST00000680666.1	289	4939	OAS2	2'-5'-oligoadenylate synthetase 2
chr5	530108	530309	202	*	Distal Intergenic	5	524705	526594	1890	1	ENSG00000250385.2	ENST00000515085.1	5403	NA	NA	NA
chr1	23594393	23594594	202	*	Promoter (<=1kb)	1	23576436	23593621	17186	2	ENSG00000285802.1	ENST00000648225.1	-772	NA	NA	NA
chr1	206739395	206739596	202	*	Distal Intergenic	1	206731288	206732116	829	1	ENSG00000162889.11	ENST00000479009.1	8107	9261	MAPKAPK2	MAPK activated protein kinase 2
chr19	947907	948108	202	*	Intron (ENST00000263620.8/ENSG00000116017.11, intron 3 of 8)	19	956485	958149	1665	1	ENSG00000275162.1	ENST00000613285.1	-8377	NA	NA	NA
chr17	75295966	75296167	202	*	Distal Intergenic	17	75278238	75289510	11273	2	ENSG00000125454.12	ENST00000580273.1	-6456	60386	SLC25A19	solute carrier family 25 member 19
chr16	88412305	88412506	202	*	Intron (ENST00000565624.3/ENSG00000225614.4, intron 1 of 2)	16	88427471	88440757	13287	1	ENSG00000225614.4	ENST00000437464.1	-14965	84627	ZNF469	zinc finger protein 469
chr14	96099038	96099239	202	*	Distal Intergenic	14	96039384	96086809	47426	1	ENSG00000227051.7	ENST00000553782.1	59654	56967	C14orf132	chromosome 14 open reading frame 132
chr17	38667374	38667575	202	*	Distal Intergenic	17	38671703	38674957	3255	2	ENSG00000273604.2	ENST00000621654.2	7382	100170841	EPOP	elongin BC and polycomb repressive complex 2 associated protein
chr10	79124162	79124363	202	*	Intron (ENST00000334512.10/ENSG00000108175.18, intron 2 of 24)	10	79068966	79316519	247554	1	ENSG00000108175.18	ENST00000334512.10	55196	57178	ZMIZ1	zinc finger MIZ-type containing 1
chr1	12020122	12020323	202	*	Promoter (<=1kb)	1	12019498	12032045	12548	1	ENSG00000116691.11	ENST00000235332.6	624	60672	MIIP	migration and invasion inhibitory protein
chr15	74780347	74780548	202	*	Promoter (1-2kb)	15	74782080	74803197	21118	1	ENSG00000103653.17	ENST00000220003.14	-1532	1445	CSK	C-terminal Src kinase
chr19	18172081	18172282	202	*	Promoter (<=1kb)	19	18173162	18175222	2061	1	ENSG00000216490.4	ENST00000597802.2	-880	10437	IFI30	IFI30 lysosomal thiol reductase
chr2	215968039	215968240	202	*	Intron (ENST00000263268.11/ENSG00000118242.16, intron 2 of 4)	2	215939308	215941719	2412	2	ENSG00000226276.1	ENST00000413311.1	-26320	NA	NA	NA
chr8	130015347	130015548	202	*	Promoter (<=1kb)	8	129841470	130016405	174936	2	ENSG00000153310.19	ENST00000523509.5	857	51571	CYRIB	CYFIP related Rac1 interactor B
