seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME
chr12	124746325	124746526	202	*	Distal Intergenic	12	124725524	124725934	411	1	ENSG00000279931.1	ENST00000624500.1	20801	NA	NA	NA
chr7	2403017	2403218	202	*	Promoter (<=1kb)	7	2403588	2448483	44896	1	ENSG00000136213.10	ENST00000258711.7	-370	55501	CHST12	carbohydrate sulfotransferase 12
chr8	130015330	130015531	202	*	Promoter (<=1kb)	8	129841470	130016405	174936	2	ENSG00000153310.19	ENST00000523509.5	874	51571	CYRIB	CYFIP related Rac1 interactor B
chr20	50054644	50054845	202	*	Distal Intergenic	20	50040716	50041504	789	2	ENSG00000231265.1	ENST00000431460.1	-13140	NA	NA	NA
chr8	130518259	130518460	202	*	Distal Intergenic	8	130052104	130443674	391571	2	ENSG00000153317.15	ENST00000518721.6	-74585	50807	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
chr9	119964182	119964383	202	*	Distal Intergenic	9	119973094	119974322	1229	1	ENSG00000225960.1	ENST00000454204.1	-8711	NA	NA	NA
chr15	90184426	90184627	202	*	Promoter (<=1kb)	15	90184918	90219843	34926	1	ENSG00000185033.14	ENST00000559300.5	-291	10509	SEMA4B	semaphorin 4B
chr17	81295683	81295884	202	*	Promoter (<=1kb)	17	81282189	81295547	13359	2	ENSG00000157637.13	ENST00000539748.1	-136	124565	SLC38A10	solute carrier family 38 member 10
chr17	47649077	47649278	202	*	Promoter (<=1kb)	17	47603860	47649402	45543	2	ENSG00000263766.5	ENST00000582389.5	124	NA	NA	NA
chr8	102528642	102528843	202	*	Promoter (<=1kb)	8	102528740	102538668	9929	1	ENSG00000253633.2	ENST00000519630.1	0	107986898	LOC107986898	uncharacterized LOC107986898
chr14	99274098	99274299	202	*	Promoter (1-2kb)	14	99169287	99272197	102911	2	ENSG00000127152.18	ENST00000357195.8	-1901	64919	BCL11B	BAF chromatin remodeling complex subunit BCL11B
chr5	132496453	132496654	202	*	Promoter (<=1kb)	5	132489392	132496467	7076	2	ENSG00000125347.15	ENST00000681584.1	0	3659	IRF1	interferon regulatory factor 1
chr20	57596473	57596674	202	*	Distal Intergenic	20	57599695	57601200	1506	2	ENSG00000227297.1	ENST00000424850.1	4526	NA	NA	NA
chr16	67968743	67968944	202	*	Promoter (<=1kb)	16	67943474	67968694	25221	2	ENSG00000124067.17	ENST00000422611.6	-49	6560	SLC12A4	solute carrier family 12 member 4
chr19	48554765	48554966	202	*	Promoter (2-3kb)	19	48552172	48599423	47252	1	ENSG00000088002.12	ENST00000201586.7	2593	6820	SULT2B1	sulfotransferase family 2B member 1
chr20	31595551	31595752	202	*	Distal Intergenic	20	31605283	31606515	1233	1	ENSG00000125968.9	ENST00000376105.4	-9531	3397	ID1	inhibitor of DNA binding 1, HLH protein
chr20	50292379	50292580	202	*	Promoter (<=1kb)	20	50292709	50312919	20211	1	ENSG00000203999.9	ENST00000669676.1	-129	284751	LINC01270	long intergenic non-protein coding RNA 1270
chr2	11744007	11744208	202	*	Promoter (1-2kb)	2	11740997	11745301	4305	2	ENSG00000230790.2	ENST00000431500.2	1093	NA	NA	NA
chr3	38084380	38084581	202	*	Intron (ENST00000440294.6/ENSG00000008226.20, intron 7 of 16)	3	38062778	38086269	23492	1	ENSG00000008226.20	ENST00000469151.1	21602	9940	DLEC1	DLEC1 cilia and flagella associated protein
chr12	14257820	14258021	202	*	Promoter (2-3kb)	12	14254912	14255226	315	1	ENSG00000255749.1	ENST00000541815.1	2908	NA	NA	NA
chr1	47710360	47710561	202	*	Distal Intergenic	1	47688463	47704029	15567	1	ENSG00000227947.2	ENST00000454285.2	21897	107984953	LINC01738	long intergenic non-protein coding RNA 1738
chr20	49916024	49916225	202	*	Promoter (<=1kb)	20	49903391	49915529	12139	2	ENSG00000158480.11	ENST00000289431.10	-495	9825	SPATA2	spermatogenesis associated 2
chr19	48698079	48698280	202	*	Promoter (2-3kb)	19	48696039	48705614	9576	1	ENSG00000176920.13	ENST00000391876.5	2040	2524	FUT2	fucosyltransferase 2
chr8	141416261	141416462	202	*	Promoter (<=1kb)	8	141416142	141432415	16274	1	ENSG00000184489.13	ENST00000680615.1	119	11156	PTP4A3	protein tyrosine phosphatase 4A3
chr16	28012287	28012488	202	*	Intron (ENST00000447459.7/ENSG00000169181.13, intron 1 of 6)	16	27998295	27998401	107	2	ENSG00000207266.1	ENST00000384536.1	-13886	106481572	RNU6-1241P	RNA, U6 small nuclear 1241, pseudogene
chr8	135457035	135457236	202	*	Promoter (<=1kb)	8	135455865	135456952	1088	2	ENSG00000254372.1	ENST00000518674.1	-83	NA	NA	NA
chr17	38667377	38667578	202	*	Distal Intergenic	17	38671703	38674957	3255	2	ENSG00000273604.2	ENST00000621654.2	7379	100170841	EPOP	elongin BC and polycomb repressive complex 2 associated protein
chr19	43669311	43669512	202	*	Promoter (<=1kb)	19	43655439	43670141	14703	2	ENSG00000011422.12	ENST00000597107.1	629	5329	PLAUR	plasminogen activator, urokinase receptor
chr12	124721108	124721309	202	*	Distal Intergenic	12	124725524	124725934	411	1	ENSG00000279931.1	ENST00000624500.1	-4215	NA	NA	NA
chr3	128867523	128867724	202	*	Promoter (1-2kb)	3	128869624	128870026	403	1	ENSG00000250796.1	ENST00000505910.1	-1900	NA	NA	NA
chr20	38291473	38291674	202	*	Exon (ENST00000451435.1/ENSG00000285347.1, exon 3 of 3)	20	38304150	38337503	33354	1	ENSG00000101425.14	ENST00000262865.9	-12476	671	BPI	bactericidal permeability increasing protein
chr5	150639940	150640141	202	*	Promoter (<=1kb)	5	150640660	150659207	18548	1	ENSG00000171992.13	ENST00000307662.5	-519	11346	SYNPO	synaptopodin
chr8	141559156	141559357	202	*	Distal Intergenic	8	141581658	141662207	80550	1	ENSG00000287677.2	ENST00000673717.1	-22301	NA	NA	NA
chr19	4585137	4585338	202	*	Distal Intergenic	19	4542593	4581776	39184	2	ENSG00000167680.17	ENST00000676793.1	-3361	10501	SEMA6B	semaphorin 6B
chr20	1895580	1895781	202	*	Promoter (<=1kb)	20	1895407	1940592	45186	1	ENSG00000198053.12	ENST00000358771.5	173	140885	SIRPA	signal regulatory protein alpha
chr20	37640758	37640959	202	*	Distal Intergenic	20	37619298	37623119	3822	2	ENSG00000225759.1	ENST00000457816.1	-17639	100861522	LINC00489	long intergenic non-protein coding RNA 489
chr1	147539382	147539583	202	*	Promoter (1-2kb)	1	147541501	147626180	84680	1	ENSG00000116128.12	ENST00000683836.1	-1918	607	BCL9	BCL9 transcription coactivator
chr20	43939611	43939812	202	*	Intron (ENST00000341197.9/ENSG00000124191.18, intron 1 of 8)	20	43945705	44069616	123912	1	ENSG00000124191.18	ENST00000358131.5	-5893	84969	TOX2	TOX high mobility group box family member 2
chr12	124519106	124519307	202	*	Promoter (<=1kb)	12	124419959	124518294	98336	2	ENSG00000196498.13	ENST00000420698.5	-812	9612	NCOR2	nuclear receptor corepressor 2
chr12	124513514	124513715	202	*	Promoter (<=1kb)	12	124513222	124516798	3577	1	ENSG00000214650.3	ENST00000667910.1	292	NA	NA	NA
chr9	113620864	113621065	202	*	Promoter (1-2kb)	9	113619228	113622634	3407	1	ENSG00000233817.1	ENST00000437712.1	1636	NA	NA	NA
chr2	95121452	95121653	202	*	Promoter (<=1kb)	2	95087208	95121799	34592	2	ENSG00000144029.12	ENST00000345084.9	146	64969	MRPS5	mitochondrial ribosomal protein S5
chr22	27670302	27670503	202	*	Distal Intergenic	22	27707580	27709931	2352	1	ENSG00000231495.1	ENST00000422833.1	-37077	NA	NA	NA
chr19	3320998	3321199	202	*	Intron (ENST00000641145.1/ENSG00000141905.19, intron 1 of 10)	19	3314403	3469217	154815	1	ENSG00000141905.19	ENST00000641145.1	6595	4782	NFIC	nuclear factor I C
chr17	50638744	50638945	202	*	Intron (ENST00000513511.5/ENSG00000108846.16, intron 1 of 7)	17	50634901	50691702	56802	1	ENSG00000108846.16	ENST00000505699.5	3843	8714	ABCC3	ATP binding cassette subfamily C member 3
chr19	48553678	48553879	202	*	Promoter (1-2kb)	19	48552172	48599423	47252	1	ENSG00000088002.12	ENST00000201586.7	1506	6820	SULT2B1	sulfotransferase family 2B member 1
chr6	33271156	33271357	202	*	Promoter (<=1kb)	6	33267870	33271777	3908	2	ENSG00000223501.9	ENST00000463486.5	420	6293	VPS52	VPS52 subunit of GARP complex
chr15	77634422	77634623	202	*	Promoter (<=1kb)	15	77614944	77634353	19410	2	ENSG00000169783.13	ENST00000557798.1	-69	84894	LINGO1	leucine rich repeat and Ig domain containing 1
chr19	14980078	14980279	202	*	Promoter (<=1kb)	19	14961310	14980298	18989	2	ENSG00000105143.13	ENST00000544886.6	19	6511	SLC1A6	solute carrier family 1 member 6
chr16	57623000	57623201	202	*	Promoter (1-2kb)	16	57621336	57651491	30156	1	ENSG00000205336.14	ENST00000569531.5	1664	9289	ADGRG1	adhesion G protein-coupled receptor G1
chr15	23422938	23423139	202	*	Distal Intergenic	15	23430839	23435212	4374	1	ENSG00000261418.1	ENST00000569537.1	-7700	8918	HERC2P6	hect domain and RLD 2 pseudogene 6
chr5	150264179	150264380	202	*	Promoter (1-2kb)	5	150219894	150265397	45504	2	ENSG00000070808.17	ENST00000684465.1	1017	815	CAMK2A	calcium/calmodulin dependent protein kinase II alpha
chr22	31754194	31754395	202	*	Promoter (<=1kb)	22	31754133	31907009	152877	1	ENSG00000100150.20	ENST00000400249.7	61	9681	DEPDC5	DEP domain containing 5, GATOR1 subcomplex subunit
chr16	87493355	87493556	202	*	Promoter (<=1kb)	16	87493306	87516940	23635	1	ENSG00000288568.1	ENST00000657113.1	49	101928737	LOC101928737	uncharacterized LOC101928737
chr1	42959046	42959247	202	*	Promoter (<=1kb)	1	42959049	42983358	24310	1	ENSG00000227533.6	ENST00000431759.5	0	440584	SLC2A1-AS1	SLC2A1 antisense RNA 1
chr19	5478654	5478855	202	*	Distal Intergenic	19	5455417	5456856	1440	1	ENSG00000105428.6	ENST00000222033.6	23237	148066	ZNRF4	zinc and ring finger 4
chr1	41435131	41435332	202	*	Distal Intergenic	1	41466937	41467028	92	2	ENSG00000252563.1	ENST00000516754.1	31696	100873284	RNA5SP45	RNA, 5S ribosomal pseudogene 45
chr12	124721064	124721265	202	*	Distal Intergenic	12	124725524	124725934	411	1	ENSG00000279931.1	ENST00000624500.1	-4259	NA	NA	NA
chr20	652727	652928	202	*	Promoter (<=1kb)	20	646615	653200	6586	2	ENSG00000271303.2	ENST00000381962.4	272	140809	SRXN1	sulfiredoxin 1
chr19	48558079	48558280	202	*	Intron (ENST00000201586.7/ENSG00000088002.12, intron 1 of 6)	19	48552172	48599423	47252	1	ENSG00000088002.12	ENST00000201586.7	5907	6820	SULT2B1	sulfotransferase family 2B member 1
chr16	14399770	14399971	202	*	Distal Intergenic	16	14407668	14418862	11195	2	ENSG00000263257.3	ENST00000647822.1	18891	NA	NA	NA
chr19	45886360	45886561	202	*	Promoter (<=1kb)	19	45883608	45886141	2534	2	ENSG00000170604.5	ENST00000302165.5	-219	26145	IRF2BP1	interferon regulatory factor 2 binding protein 1
chr1	158021379	158021580	202	*	Intron (ENST00000360089.8/ENSG00000183853.18, intron 1 of 12)	1	158025550	158031166	5617	1	ENSG00000226520.1	ENST00000419415.1	-3970	NA	NA	NA
